general rules,,
0: preprocess: remove ignore patterns,,

how to process,title,url
,Help with refinance in flood zone,http://feedproxy.google.com/~r/FatwalletFinance/~3/PkweAlYQeqI/1035261
,Free Flip UltraHD video camera for opening bank account at Trustco Bank,http://feedproxy.google.com/~r/FatwalletFinance/~3/oRr27pnhax4/1035265
,Ryobi Miter Saw Stand $79 - Home Depot B&M,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/ek-DjmCIx-M/1035259
,Today's National Groupon Deals + Up to 7.5% Cash Back!,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/Ol5n-YWOGAM/1035262
,Western Digital WDTV Live Plus HD Media Player (with Netflix) $99 FSSS at Amazon,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/JcFPRNfuR3I/1035263
,New Footlocker Coupon Code $20 off $100,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/kOghTU1nFIc/1035266
,Teleflora: Free Delivery ($14.99 Value),http://feedproxy.google.com/~r/FatwalletHotDeals/~3/84K3DJTdKfs/1035267
,AMAZON: Free 2-DAY Shipping or $10 CREDIT -  When You Purchase $75 of Apparel or Shoes,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/qkgHhblopkE/1035268
,KEF IQ10 Bookshelf Speaker Pair $199 FS @ Vanns.com,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/PvvOg6rxvo0/1035269
,Snuggie - varsity edition - Staples B&M clearance $5.50 or even $0.50 YMMV.,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/SMi85FL61jY/1035271
,Canon PIXMA iP4820 Inkjet - $69.95 shipped @ B&H,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/2Hn4GKOZZhM/1035272
,eyeclops LED projector with speakers $29.99 + $5 s/h,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/im_6LtdB34U/1035273
,Samsung 720p 3d Plasma plus two free 3d glasses PN50C490B3D $973 at Amazon.com or Best Buy,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/PGphlgzEofw/1035274
,Seagate ST31000528AS 1TB 7200RPM HD $55 AC @ Superbiiz,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/D167Nu0PoP4/1035275
,GamersGate 50-75% off sale,http://feedproxy.google.com/~r/FatwalletHotDeals/~3/g1oIY0uY-2A/1035277
," Levi 569 Jeans $19.90 , Free Shipping Offer ends today  at 11:59 pm PT. ",http://feedproxy.google.com/~r/FatwalletHotDeals/~3/nzwWMZfwnGs/1035278
,"Today only, KidKraft Wooden Pastel Cottage Play Kitchen, $89.99 shipped from Meijer",http://feedproxy.google.com/~r/FatwalletHotDeals/~3/UcJ0ydK4PGQ/1035280
,InStyle Magazine's PriceGrabber Giveaway - 11/30/10,http://feedproxy.google.com/~r/SlickdealsnetForums-25/~3/IzKtQnawLl4/showthread.php
,InStyle Magazine's Temple St. Clair for Target Baroque Ring Giveaway (email entry) - 11/30/10,http://feedproxy.google.com/~r/SlickdealsnetForums-25/~3/vEILa1eVdwk/showthread.php
,Kum & Go - Dr Pepper® Cup Name Sweepstakes 18+ 11/30/10,http://feedproxy.google.com/~r/SlickdealsnetForums-25/~3/KvejF93aIrg/showthread.php
,HDdeck USB to HDMI adapter from Sewell - All Ages - (11/01/2010),http://feedproxy.google.com/~r/SlickdealsnetForums-25/~3/k2SUImZpzv0/showthread.php
,Edible Arrangements - 10% early-bird discount for December orders,http://feedproxy.google.com/~r/SlickdealsnetForums-10/~3/nG2dPWMzEBU/showthread.php
,$0.99 Spicy Toasted Ravioli at Ledo Pizza,http://feedproxy.google.com/~r/SlickdealsnetForums-10/~3/kHQ-V16INgQ/showthread.php
,TODAY ONLY: 25% off entire order @ calvin klein (online only),http://feedproxy.google.com/~r/SlickdealsnetForums-10/~3/oolWvv1T4qQ/showthread.php
,Save 20% + get a FREE Kids pack on Tickets to Radio City Christmas Spectacular in NYC,http://feedproxy.google.com/~r/SlickdealsnetForums-10/~3/RJZZ2bhsBKc/showthread.php
,15% off Gogobabyz.com through 12/31/10,http://feedproxy.google.com/~r/SlickdealsnetForums-10/~3/uyuI6CI3ODI/showthread.php
,New Quick Chek Coupon - Free 3oz. Entenmann's Crumb Cake EXP 10/25,http://feedproxy.google.com/~r/SlickdealsnetForums-4/~3/6Z8-oetq6qo/showthread.php
,Free Sports Wallet - MN and Western WI only,http://feedproxy.google.com/~r/SlickdealsnetForums-4/~3/1sMnA4DfrAU/showthread.php
,$6.34 plus .97 shipping 6 pack Scotch Lightweight Shipping Packaging Tape,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/STSj77eeqRc/showthread.php
,DRESS BARN 30% off Friends & Family + FS 10/21 - 10/24,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/9G4PfuZX76M/showthread.php
,FCPGROTON - 10%-15% off and FS for Auto Parts,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/Vj6vbSwaAw0/showthread.php
,"Buy 1, Get 1 Entrée Free at Logan's-Oct 30 & 31",http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/bJnKymjsR5w/showthread.php
,JC Penny $10 off $50 in store coupon,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/nP316WL2okU/showthread.php
,iHome iP11  Spacesaver Alarm Clock For iPhone & iPod $10.99 + tax Office Depot BM YMMV,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/ncLuHBcNY0s/showthread.php
,Rock Band 3 Wireless Keyboard and Software Bundle for Xbox 360 - Release Date 10/26 for $124.99,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/JVOjrxE46Y8/showthread.php
,Coldwatercreek has Free Shipping on all orders no Minimum,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/LnKXfMbbbRw/showthread.php
,Cabela's - Men's - The North Face Windwall 1 Jacket $39.88 + shipping (New Taupe Green Only),http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/nPny8I9rHLg/showthread.php
,Norton Internet Security 2011 for 1 PC -- $24.99,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/il6V1cAYVcc/showthread.php
,Free meal for Veterans at McCormick & Schmick on Sun 11/7,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/RLeBDTPk13s/showthread.php
,Sports Authority FnF 25% off One Item,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/lZbb3WPiUTI/showthread.php
,"Omron sale, pedometers, Fat Loss Monitors, etc 45% off",http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/plqZW7LxTj8/showthread.php
,Pre-Order: Blackberry Style 9760 FLIP smartphone for SPRINT $99**,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/ZNhWzJxuI7k/showthread.php
,$5 off RoboCop Trilogy blu-ray set B&M YMMV,http://feedproxy.google.com/~r/SlickdealsnetForums-9/~3/B-qor4PjSkg/showthread.php
,Levi's Silvertab Jeans - TALL SIZES - JCP.COM - $16 (or less) + tax/S&H (20 replies),http://feedproxy.google.com/~r/SlickdealsnetHT/~3/8edPypJL-B4/showthread.php
,$1 Pulled Pork BBQ sandwiches at Dickey's 10/19 (10 replies),http://feedproxy.google.com/~r/SlickdealsnetHT/~3/gj7zeLUQLpw/showthread.php
,hhgregg is offering $100 gift cards for $75 | 20% off everything until Saturday 10/23 (60 replies),http://feedproxy.google.com/~r/SlickdealsnetHT/~3/aTk201ZPCWg/showthread.php
,Otterbox Impact Case For iPhone 4 for $9.99 (21 replies),http://feedproxy.google.com/~r/SlickdealsnetHT/~3/JaqT4JPK5qI/showthread.php
,"Fathead: Select Life-size Wall Graphics for $6: Sports, Nascar, Camp Rock Shane  + S/H",http://feedproxy.google.com/~r/SlickdealsnetFP/~3/idPwXrZ4RRA/40505
,"Fisher-Price Brilliant Toys: FP Drillin' Action Tool Set $11, Dora the Explorer Birthday Doll $14, TRIO Building Set $14, Basics Baby Basketball $14, & More  ",http://feedproxy.google.com/~r/SlickdealsnetFP/~3/udgpwwxQC6A/40507
,"Fisher-Price Brilliant Basics Activity Walker $13, Dora Doll $13, more toy sale",http://www.dealalive.com/detail_1287422101268103.html
,HP Home - 25% off $999 coupon on Laptops,http://www.dealalive.com/detail_1287423181702707.html
,Barbie Glam Vacation House $20,http://www.dealalive.com/detail_1287427201910361.html
